1
184.53	120.37	67.59
120.37	80.83	44.19
67.59	44.19	26.40
288.61	1.33	1.81
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.01
0.74
0.00	0.00	0.01
2
1475.34	974.15	559.53
974.15	733.91	391.17
559.53	391.17	285.19
2370.44	57.75	66.26
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.03
0.87
0.02	0.00	0.03
3
5085.34	3320.40	1918.37
3320.40	2898.14	1369.35
1918.37	1369.35	1325.12
8285.68	490.35	532.57
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.07
0.92
0.06	0.01	0.07
4
11172.94	6962.23	3912.20
6962.23	7346.20	2745.37
3912.20	2745.37	3767.99
18074.35	1915.52	2297.26
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.15
0.83
0.11	0.02	0.13
5
21724.92	12594.52	6550.39
12594.52	16758.25	4450.96
6550.39	4450.96	9297.57
34544.05	5896.81	7339.89
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.30
0.80
0.20	0.04	0.23
6
37552.60	19063.96	9005.96
19063.96	33791.60	6024.26
9005.96	6024.26	20731.98
57922.86	15453.39	18699.93
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.60
0.83
0.34	0.05	0.38
7
58238.61	25618.51	11242.04
25618.51	63050.77	7981.04
11242.04	7981.04	42947.68
90226.32	33481.78	40528.95
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
2.45
0.83
0.56	0.08	0.59
8
89463.49	32980.94	16909.18
32980.94	115781.46	13062.07
16909.18	13062.07	89574.49
145566.04	64791.80	84461.59
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
6.69
0.76
0.83	0.13	0.85
9
143971.83	44630.99	32511.68
44630.99	206040.60	21642.66
32511.68	21642.66	172779.67
246015.28	113469.66	163307.16
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
3.10
0.62
0.60	0.19	0.68
10
220999.10	51974.59	45502.66
51974.59	329578.26	26744.64
45502.66	26744.64	282837.52
371559.44	187787.80	274067.64
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
2.25
0.53
0.44	0.21	0.56
11
324811.93	54363.39	54207.41
54363.39	496058.47	28052.32
54207.41	28052.32	423155.34
529930.14	292991.06	421104.54
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.89
0.46
0.32	0.22	0.47
12
455338.72	51339.46	55480.04
51339.46	705882.03	26863.92
55480.04	26863.92	595587.55
727173.05	430132.35	599502.90
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.72
0.43
0.26	0.21	0.42
13
620002.11	43428.23	52393.84
43428.23	961767.02	31494.86
52393.84	31494.86	809110.58
976076.08	603129.85	811673.78
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.64
0.44
0.24	0.20	0.39
14
808629.19	32134.81	39620.42
32134.81	1265741.54	39462.49
39620.42	39462.49	1062988.66
1276419.84	801141.67	1059797.88
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.62
0.46
0.24	0.19	0.38
15
1032081.96	19998.44	21113.51
19998.44	1628195.41	58792.18
21113.51	58792.18	1367967.90
1641807.47	1030308.39	1356129.41
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.63
0.47
0.25	0.18	0.38
16
1286683.06	7548.71	-12241.58
7548.71	2040733.70	89995.55
-12241.58	89995.55	1714307.63
2063924.52	1286193.75	1691606.12
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.64
0.48
0.26	0.18	0.39
17
1566407.03	-5781.86	-55059.63
-5781.86	2504120.47	131772.30
-55059.63	131772.30	2102398.24
2543953.32	1560746.55	2068225.87
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.68
0.48
0.27	0.18	0.40
18
1868945.26	-29801.79	-104388.22
-29801.79	3036693.83	197388.43
-104388.22	197388.43	2533984.64
3108095.83	1852944.70	2478583.20
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.75
0.50
0.30	0.18	0.43
19
2216939.55	-59145.84	-167835.36
-59145.84	3649624.56	286476.89
-167835.36	286476.89	3015920.26
3768647.74	2183114.24	2930722.38
0.00	0.00	0.00
0.00	0.00	0.00
0.00	0.00	0.00
1.83
0.53
0.33	0.18	0.45
20
2591806.82	-88788.29	-235747.38
-88788.29	4340703.05	391680.65
-235747.38	391680.65	3540401.69
4515978.66	2536443.00	3420489.90
0.00	0.00	0.00
